S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
0.826388889,0.235294118,0.748571429,0.845679012,0.709090909,0.100775194,0.671428571,0.27027027,0.107329843,0.097058824,0.275482094,0.029850746,0.340540541,0.503524673,1,1,2
0.909722222,0.367058824,0.857142857,0.888888889,0.684848485,0.073643411,0.632142857,0.094594595,0.091623037,0.173529412,0.099173554,0.008955224,0.745945946,0.354733132,0,0,2
0.736111111,0.484705882,0.605714286,0.808641975,0.721212121,0.089147287,0.125,0.351351351,0.065445026,0.052941176,0.005509642,0.014925373,0.140540541,0.509818731,0,0,1
0.083333333,0.089411765,0.034285714,0.191358025,0,0,0,0,0.005235602,0.005882353,0.005509642,0,0.010810811,0.407603223,0,0,0
0.430555556,0.324705882,0.571428571,0.462962963,0.060606061,0.03875969,0.182142857,0.432432432,0.094240838,0.108823529,0.024793388,0.029850746,0.027027027,0.412134945,0,1,3
0.868055556,0.338823529,0.857142857,0.845679012,0.690909091,0.073643411,0.642857143,0.094594595,0.005235602,0.002941176,0.05785124,0.005970149,0.724324324,0.356747231,0,0,2
0.173611111,0.089411765,0.251428571,0.5,0.072727273,0.054263566,0.203571429,0.540540541,0.005235602,0.005882353,0.008264463,0.002985075,0.016216216,0.411883182,0,0,0
0.131944444,0.089411765,0.034285714,0.191358025,0,0,0,0,0.005235602,0.002941176,0.005509642,0.002985075,0.016216216,0.417925478,0,0,0
0.083333333,0.072941176,0.068571429,0.191358025,0.036363636,0.023255814,0.121428571,0.297297297,0.005235602,0.002941176,0.008264463,0.002985075,0.016216216,0.412134945,0,0,0
0.083333333,0.089411765,0.068571429,0.154320988,0.006060606,0.003875969,0.035714286,0.081081081,0.005235602,0.002941176,0.005509642,0.011940299,0.005405405,0.412134945,0,0,0
